city,county_fips,linearid,fullname,rttyp,mtfcc,road_category
New York City,36061,110460981445,Wooster St Exd,M,S1400,Local Streets
New York City,36061,1104692433852,W 158th St Exn,M,S1400,Local Streets
New York City,36061,1105317318629,Staten St Exn,M,S1400,Local Streets
New York City,36061,110460981407,Stanton St Exn,M,S1400,Local Streets
New York City,36061,1103471739102,First Ave Lp,M,S1400,Local Streets
New York City,36061,110460981499,Old Broadway,M,S1400,Local Streets
New York City,36061,110460981498,Old Broadway,M,S1400,Local Streets
New York City,36061,110460980342,Old Slip,M,S1400,Local Streets
New York City,36061,110460980341,Old Slip,M,S1400,Local Streets
New York City,36061,110460982027,Stuyvesant Loop N,M,S1400,Local Streets
New York City,36061,110460981541,Delancey St N,M,S1400,Local Streets
New York City,36061,110460981364,Madison Sq N,M,S1400,Local Streets
New York City,36061,1106087380679,Central Park N,M,S1400,Local Streets
New York City,36061,110460980673,Craig Rd N,M,S1400,Local Streets
New York City,36061,110460982065,Washington Sq N,M,S1400,Local Streets
New York City,36061,1105010584703,Delancy St N,M,S1400,Local Streets
New York City,36061,1105061271229,Gramercy Park N,M,S1400,Local Streets
New York City,36061,1104489199020,Central Rd N,M,S1400,Local Streets
New York City,36061,110460981549,Delancey St S,M,S1400,Local Streets
New York City,36061,1106255169263,Union Sq S,M,S1400,Local Streets
New York City,36061,110460982067,Washington Sq S,M,S1400,Local Streets
New York City,36061,110460981164,Sutton Pl S,M,S1400,Local Streets
New York City,36061,1104692416750,7th Ave S,M,S1400,Local Streets
New York City,36061,1104692471170,Park Ave S,M,S1400,Local Streets
New York City,36061,1105061270230,Gramercy Park S,M,S1400,Local Streets
New York City,36061,110460982029,Stuyvesant Loop S,M,S1400,Local Streets
New York City,36061,110460980675,Craig Rd S,M,S1400,Local Streets
New York City,36061,1105061271046,Central Park S,M,S1400,Local Streets
New York City,36061,110460980893,Union Sq E,M,S1400,Local Streets
New York City,36061,110460982300,Gramercy Park E,M,S1400,Local Streets
New York City,36061,110460982031,Stuyvesant Loop E,M,S1400,Local Streets
New York City,36061,110460982069,Washington Sq E,M,S1400,Local Streets
New York City,36061,110460980305,Park Ter E,M,S1400,Local Streets
New York City,36061,110460981879,Riverside Dr E,M,S1400,Local Streets
New York City,36061,110460982363,Gouverneur Slip E,M,S1400,Local Streets
New York City,36061,110460981735,Fdr Drive Svc Rd E,O,S1640,Special Roads
New York City,36061,110460982477,Mount Morris Park W,M,S1400,Local Streets
New York City,36061,110460980895,Union Sq W,M,S1400,Local Streets
New York City,36061,110460982365,Gouverneur Slip W,M,S1400,Local Streets
New York City,36061,110460980309,Park Ter W,M,S1400,Local Streets
New York City,36061,1106087381519,Stuyvesant Loop W,M,S1400,Local Streets
New York City,36061,110460981890,Riverside Dr W,M,S1400,Local Streets
New York City,36061,110460982302,Gramercy Park W,M,S1400,Local Streets
New York City,36061,110460982196,Central Park W,M,S1400,Local Streets
New York City,36061,110460981888,Riverside Dr W,M,S1400,Local Streets
New York City,36061,110460982072,Washington Sq W,M,S1400,Local Streets
New York City,36061,110460979870,N End Ave,M,S1400,Local Streets
New York City,36061,110460979868,N End Ave,M,S1400,Local Streets
New York City,36061,110460980810,N Moore St,M,S1400,Local Streets
New York City,36061,110460979869,N End Ave,M,S1400,Local Streets
New York City,36061,110460979874,S End Ave,M,S1400,Local Streets
New York City,36061,110460981441,S William St,M,S1400,Local Streets
New York City,36061,110460981805,S Pinehurst Ave,M,S1400,Local Streets
New York City,36061,11010936318035,S Street Viaduct,M,S1100,Primary Roads
New York City,36061,11010936318014,S Street Viaduct,M,S1100,Primary Roads
New York City,36061,110460980008,E 24th St,M,S1400,Local Streets
New York City,36061,1104692415239,E 10th St,M,S1400,Local Streets
New York City,36061,1104692415298,E 9th St,M,S1400,Local Streets
New York City,36061,1104692415687,E 3rd St,M,S1400,Local Streets
New York City,36061,1104692415501,E 4th St,M,S1400,Local Streets
New York City,36061,1104692471065,E 135th St,M,S1400,Local Streets
New York City,36061,110460980066,E 45th St,M,S1400,Local Streets
New York City,36061,1104692406497,E 89th St,M,S1400,Local Streets
New York City,36061,1104692407689,E 71st St,M,S1400,Local Streets
New York City,36061,1104692406313,E 91st St,M,S1400,Local Streets
New York City,36061,1104692408719,E 56th St,M,S1400,Local Streets
New York City,36061,110460980059,E 43rd St,M,S1400,Local Streets
New York City,36061,110460980074,E 48th St,M,S1400,Local Streets
