city,county_fips,linearid,fullname,rttyp,mtfcc,road_category
San Francisco,06075,110498937425,Hwy 101 N on Rmp,M,S1400,Local Streets
San Francisco,06075,110498938773,Hwy 101 S Off Rmp,M,S1400,Local Streets
San Francisco,06075,1108475858996,US Hwy 101 Bus,U,S1200,Secondary Roads
San Francisco,06075,1103660229533,Ludlow Aly - No Acc,M,S1780,Special Roads
San Francisco,06075,110498938927,Old Chinatown Ln,M,S1400,Local Streets
San Francisco,06075,1104995434770,Old Mason St,M,S1400,Local Streets
San Francisco,06075,110498932091,Pub Park,M,S1730,Special Roads
San Francisco,06075,1103689702763,25th Ave N,M,S1400,Local Streets
San Francisco,06075,1106081811301,Mission Bay Blvd N,M,S1400,Local Streets
San Francisco,06075,1103666896385,25th Ave N,M,S1400,Local Streets
San Francisco,06075,1103689702762,25th Ave N,M,S1400,Local Streets
San Francisco,06075,1103689702566,Willard N,M,S1400,Local Streets
San Francisco,06075,110498933806,Avenue N,M,S1400,Local Streets
San Francisco,06075,1103677491290,Mission Bay Blvd S,M,S1400,Local Streets
San Francisco,06075,110498933807,Avenue E,M,S1400,Local Streets
San Francisco,06075,110498934806,Middle Dr E,M,S1400,Local Streets
San Francisco,06075,110498940043,Conservatory Dr E,M,S1400,Local Streets
San Francisco,06075,110498939331,Stow Lake Dr E,M,S1400,Local Streets
San Francisco,06075,110498939789,Buena Vista Ave E,M,S1400,Local Streets
San Francisco,06075,110498940273,Chain of Lakes Dr E,M,S1400,Local Streets
San Francisco,06075,110498934807,Middle Dr W,M,S1400,Local Streets
San Francisco,06075,110498940044,Conservatory Dr W,M,S1400,Local Streets
San Francisco,06075,110498939790,Buena Vista Ave W,M,S1400,Local Streets
San Francisco,06075,110498940274,Chain of Lakes Dr W,M,S1400,Local Streets
San Francisco,06075,110498933599,N State Dr,M,S1400,Local Streets
San Francisco,06075,110498934391,N Hughes Ln,M,S1400,Local Streets
San Francisco,06075,110498933453,N Point St,M,S1400,Local Streets
San Francisco,06075,110498938555,N Van Horn Ln,M,S1400,Local Streets
San Francisco,06075,110498931380,N 15th Ave,M,S1400,Local Streets
San Francisco,06075,110498933455,N Point St,M,S1400,Local Streets
San Francisco,06075,110498932198,N View Ct,M,S1400,Local Streets
San Francisco,06075,110498931889,N Gate Rd,M,S1400,Local Streets
San Francisco,06075,1103689702356,N Willard St,M,S1400,Local Streets
San Francisco,06075,110498933454,N Point St,M,S1400,Local Streets
San Francisco,06075,110498938557,S Van Horn Ln,M,S1400,Local Streets
San Francisco,06075,11035052615586,S Hill Blvd,M,S1400,Local Streets
San Francisco,06075,110498932098,S Park Ave,M,S1400,Local Streets
San Francisco,06075,1108475858722,S Van Ness Ave,M,S1200,Secondary Roads
San Francisco,06075,110498938699,S Van Ness Ave,M,S1400,Local Streets
San Francisco,06075,1103939729246,S Ridge Trl,M,S1400,Local Streets
San Francisco,06075,110498932097,S Park Ave,M,S1400,Local Streets
