state_fips,county_fips,linearid,fullname,rttyp,mtfcc
01,01073,11081134522,Cleveland Ln SW Exd,M,S1400
01,01073,11019665311977,Valley Rd Exd,M,S1400
01,01073,11081119328,Balsam Ave Exn,M,S1740
01,01073,11081108409,Fast Ln Lp,M,S1400
01,01073,11081081491,Old Hwy 31 N,M,S1400
01,01073,11081081489,Old Hwy 31 N,M,S1400
01,01073,11081081480,Old Hwy 31 N,M,S1200
01,01073,11081081490,Old Hwy 31 N,M,S1400
01,01073,1103697014414,Old Montevallo Rd S,M,S1400
01,01073,11081141580,Old Springville Rd NE,M,S1400
01,01073,11081111132,Old Town Trce NW,M,S1400
01,01073,11081108385,Old Farm Dr,M,S1400
01,01073,11081118663,Old Trace Rd,M,S1400
01,01073,11081138941,Old Montgomery Hwy,M,S1400
01,01073,11015488724291,Old Tuscaloosa Hwy,M,S1400
01,01073,1103691391545,Old Alton Rd,M,S1400
01,01073,11081083799,Old US Hwy 280,U,S1400
01,01073,11081138995,Old Mulga Loop Rd,M,S1400
01,01073,11081138939,Old Montgomery Hwy,M,S1400
01,01073,11081135815,Old Lewisburg Rd,M,S1400
01,01073,11081120848,Old Forest Rd,M,S1400
01,01073,1103691366149,Old Jasper Hwy,M,S1400
01,01073,1103678364027,Old Jasper Hwy,M,S1400
01,01073,1103680600164,Old Mill Branch,M,S1400
01,01073,11081122809,Old Quarry Rd,M,S1400
01,01073,11081109948,Old Mine Rd,M,S1400
01,01073,1103679398737,Old Tanery Trl,M,S1400
01,01073,11081082643,Old State Hwy 150,S,S1400
01,01073,1106072577696,Old Hwy 150,M,S1400
01,01073,11081081469,Old Hwy 31,M,S1400
01,01073,11081142702,Old Overton Club Dr,M,S1400
01,01073,11081110711,Old Port Dr,M,S1400
01,01073,11081141506,Old Short Creek Rd,M,S1400
01,01073,1103671247077,Old Mill Trl,M,S1400
01,01073,11081081467,Old Hwy 31,M,S1400
01,01073,1103691352278,Old Pinson Hwy,M,S1400
01,01073,11081144742,Old Tarrant Pinson Hwy,M,S1400
01,01073,11081129470,Old Bradford Rd,M,S1400
01,01073,11012814312849,Old Tuscaloosa Hwy,M,S1400
01,01073,11081143507,Old Green Springs Rd,M,S1400
01,01073,11081127510,Old Orchard Rd,M,S1400
01,01073,11081111128,Old Town Rd,M,S1400
01,01073,11081118542,Old South Trce,M,S1400
01,01073,11081083798,Old US Hwy 280,U,S1400
01,01073,11081111935,Old Alton Rd,M,S1400
01,01073,11081128063,Old Saulter Cir,M,S1400
01,01073,11081144125,Old Warrior River Rd,M,S1400
01,01073,11081138942,Old Montgomery Hwy,M,S1400
01,01073,11081112968,Old Brook Ln,M,S1400
01,01073,11081141449,Old Shadow Lake Rd,M,S1400
01,01073,11081118803,Old Wagon Rd,M,S1400
01,01073,11081117319,Old Leeds Ter,M,S1400
01,01073,11081117310,Old Leeds Ct,M,S1400
01,01073,11081139370,Old Rock Creek Rd,M,S1400
01,01073,11081082642,Old State Hwy 150,S,S1400
01,01073,11081082631,Old Hwy 150,M,S1400
01,01073,11081143805,Old Patton Chapel Rd,M,S1400
01,01073,11081109901,Old Mill Cir,M,S1400
01,01073,11081145790,Old Bradford - Trafford Rd,M,S1400
01,01073,11081141705,Old Valley Ford Rd,M,S1400
01,01073,11081144747,Old Tennessee Pike Rd,M,S1400
01,01073,1103691399543,Old Bagley Rd,M,S1400
01,01073,11081082175,Old US Hwy 78,U,S1400
01,01073,11081145468,Old Birmingham Jasper Hwy,M,S1400
01,01073,1106072563698,Old Hwy 31,M,S1400
01,01073,11081152581,Old Mill Ln,M,S1400
01,01073,11020511136566,Old Springville Rd,M,S1400
01,01073,1105316619674,Old Montgomery Hwy,M,S1400
01,01073,11081137483,Old Woodstock Trl,M,S1400
01,01073,1103697014383,Old Montevallo Rd,M,S1400
01,01073,11081138019,Old Columbiana Rd,M,S1400
01,01073,1106072563838,Old Pinson Rd,M,S1400
01,01073,11081141342,Old Rocky Ridge Ln,M,S1400
01,01073,11081134181,Old Brook Run,M,S1400
01,01073,11081113390,Old Creek Trl,M,S1400
01,01073,11081138016,Old Columbiana Rd,M,S1400
01,01073,11081125382,Old Dixiana Rd,M,S1400
01,01073,11081129469,Old Bradford Rd,M,S1400
01,01073,11081126763,Old Lock 17 Rd,M,S1400
01,01073,11081145190,Old Tennewssee Pike Rd,M,S1400
01,01073,11081138456,Old Highway 75 Hwy,M,S1400
