state,county_fips,total_roads,primary,secondary,local,special
Alabama,01073,27481,38,321,25308,1814
Alabama,01089,28911,30,187,25765,2929
Alabama,01097,41240,14,247,33995,6984
Alabama,01101,7290,12,153,6504,621
Alabama,01125,11727,18,169,10893,647
Alaska,02020,7350,20,31,6553,746
Arizona,04003,15638,4,92,14374,1168
Arizona,04013,124908,73,105,115375,9355
Arizona,04015,30470,8,55,26821,3586
Arizona,04019,37728,7,53,36722,946
Arizona,04025,29740,10,109,25115,4506
Arizona,04027,13450,6,42,11778,1624
Arkansas,05119,14329,34,228,12304,1763
California,06001,26480,69,171,23697,2543
California,06007,9495,9,59,9151,276
California,06013,30315,28,19,28789,1479
California,06019,31466,25,151,29410,1880
California,06025,8253,5,154,7667,427
California,06029,57986,34,262,49353,8337
California,06037,135226,248,692,120168,14118
California,06041,8072,9,38,7218,807
California,06047,9056,13,69,8316,658
California,06053,18200,29,85,15809,2277
California,06059,59275,91,156,53981,5047
California,06065,58445,31,170,55486,2758
California,06067,28435,34,42,26186,2173
California,06071,73680,49,202,68624,4805
California,06073,62622,99,334,49860,12329
California,06075,4127,32,34,3743,318
California,06077,15352,24,91,13330,1907
California,06079,17622,23,174,15828,1597
California,06081,11018,27,148,9907,936
California,06083,16512,22,172,13455,2863
California,06085,38359,48,277,33005,5029
California,06087,13036,5,242,8924,3865
California,06089,15681,15,107,14332,1227
California,06095,15646,36,63,13296,2251
California,06097,20649,10,101,19246,1292
California,06099,9841,7,44,9502,288
California,06107,17120,28,404,15089,1599
California,06111,22918,43,183,20019,2673
California,06113,4882,22,52,4316,492
Colorado,08001,11744,58,106,10414,1166
Colorado,08005,14463,53,152,12819,1439
Colorado,08013,9044,12,180,8467,385
Colorado,08031,8734,46,197,6362,2129
Colorado,08041,29689,14,80,26716,2879
Colorado,08059,15243,27,145,14491,580
Colorado,08069,17700,4,115,15194,2387
Colorado,08101,9471,10,75,8075,1311
Colorado,08123,11410,12,159,9841,1398
Connecticut,09110,22395,76,630,19818,1871
Connecticut,09170,12242,34,266,10899,1043
Connecticut,09190,16793,48,412,15397,936
District of Columbia,11001,4390,79,102,3717,492
Florida,12001,16762,2,169,15347,1244
Florida,12009,15970,13,222,15248,487
Florida,12011,32059,28,407,30064,1560
Florida,12021,9687,8,66,9309,304
Florida,12031,22036,70,322,20097,1547
Florida,12033,20348,8,386,10128,9826
Florida,12053,7062,8,74,6782,198
Florida,12057,25999,55,173,24975,796
Florida,12071,24812,15,161,24284,352
Florida,12073,11323,4,174,9293,1852
Florida,12083,20249,5,93,18580,1571
Florida,12085,5350,8,45,5061,236
Florida,12086,36939,59,372,33643,2865
Florida,12095,27990,67,490,25914,1519
Florida,12097,10269,12,95,9776,386
Florida,12099,27834,8,307,26626,893
Florida,12101,14005,36,126,13495,348
Florida,12103,22341,19,186,21390,746
Florida,12105,23397,14,425,22410,548
Florida,12115,15892,2,263,14439,1188
Florida,12117,12323,12,186,11897,228
Florida,12127,15251,16,235,14621,379
Georgia,13021,5016,12,143,4350,511
Georgia,13051,6846,29,128,6202,487
Georgia,13063,5456,22,102,4983,349
Georgia,13067,22470,21,230,21766,453
Georgia,13089,12819,33,123,12164,499
Georgia,13095,3023,12,129,2519,363
Georgia,13117,5470,7,52,5339,72
Georgia,13121,21534,64,270,18823,2377
Georgia,13135,17789,36,193,17189,371
Georgia,13139,5870,15,227,5504,124
Georgia,13215,5136,26,83,4826,201
Georgia,13245,8797,16,132,7907,742
Hawaii,15003,13016,39,321,11762,894
Idaho,16001,17905,16,67,17453,369
Illinois,17031,76006,191,599,44352,30864
Illinois,17043,16556,20,228,15711,597
Illinois,17089,9494,11,150,9105,228
Illinois,17097,16958,20,358,15982,598
Illinois,17143,5362,8,165,4978,211
Illinois,17167,7421,14,176,6489,742
Illinois,17197,14715,15,215,14092,393
Illinois,17201,8262,13,135,7671,443
Indiana,18003,9957,35,185,8812,925
Indiana,18035,4430,12,54,4188,176
Indiana,18089,13378,26,263,10205,2884
Indiana,18097,20894,40,129,19727,998
Indiana,18141,10873,18,117,8286,2452
Indiana,18157,4882,2,128,4300,452
Indiana,18163,4634,15,50,4300,269
Iowa,19113,6544,15,98,5842,589
Iowa,19153,12601,16,245,11067,1273
Iowa,19163,11184,14,80,8887,2203
Iowa,19193,7981,10,104,5080,2787
Kansas,20045,3946,8,65,3525,348
Kansas,20091,16987,24,68,16311,584
Kansas,20173,14491,42,95,13555,799
Kansas,20177,5707,16,74,4905,712
Kansas,20209,8148,46,112,5558,2432
Kentucky,21067,5282,26,152,4804,300
Kentucky,21111,13936,20,210,12360,1346
Louisiana,22017,11485,14,336,9504,1631
Louisiana,22033,9227,12,292,8485,438
Louisiana,22051,9336,18,267,8621,430
Louisiana,22055,6823,6,209,6385,223
Louisiana,22071,7707,23,169,7050,465
Maine,23019,12529,7,489,9731,2302
Maryland,24003,16173,72,514,14472,1115
Maryland,24005,28823,54,312,27391,1066
Maryland,24031,14806,54,352,13554,846
Maryland,24033,28147,48,403,25696,2000
Maryland,24510,10844,34,263,9961,586
Massachusetts,25005,16544,43,385,15298,818
Massachusetts,25009,23749,23,601,22041,1084
Massachusetts,25013,14884,29,446,13799,610
Massachusetts,25017,40050,60,852,37305,1833
Massachusetts,25021,19618,44,442,18410,722
Massachusetts,25023,21983,30,574,20787,592
Massachusetts,25025,9993,48,252,8906,787
Massachusetts,25027,31231,60,869,28868,1434
Michigan,26017,3332,7,95,3088,142
Michigan,26049,10048,10,56,9263,719
Michigan,26065,5985,8,136,5530,311
Michigan,26077,6664,8,78,6225,353
Michigan,26081,15009,30,119,14147,713
Michigan,26099,16998,15,175,16187,621
Michigan,26125,27052,24,142,26076,810
Michigan,26145,5277,8,129,4945,195
Michigan,26161,8288,19,75,7889,305
Michigan,26163,26704,58,134,24685,1827
Minnesota,27003,15445,24,53,11077,4291
Minnesota,27037,10313,34,130,9353,796
Minnesota,27053,21698,68,99,19800,1731
Minnesota,27109,10109,4,78,7217,2810
Minnesota,27123,8578,44,133,7865,536
Minnesota,27137,18426,7,127,15196,3096
Mississippi,28049,12012,21,87,9522,2382
Missouri,29019,12295,7,70,9036,3182
Missouri,29077,16615,18,164,13006,3427
Missouri,29095,21527,52,169,20229,1077
Missouri,29189,26243,35,213,23484,2511
Missouri,29510,7297,43,37,6638,579
Montana,30063,8515,9,113,7226,1167
Montana,30111,6813,8,41,5602,1162
Nebraska,31055,12886,24,157,12204,501
Nebraska,31109,7836,12,131,7137,556
Nebraska,31153,7968,2,58,6628,1280
Nevada,32003,63727,39,257,61049,2382
Nevada,32031,16038,12,72,14189,1765
New Hampshire,33011,14961,14,527,12451,1969
New Hampshire,33013,8137,28,375,5895,1839
New Jersey,34003,14650,87,118,13126,1319
New Jersey,34007,10276,40,159,9338,739
New Jersey,34013,8049,87,83,7114,765
New Jersey,34017,3167,59,70,2599,439
New Jersey,34023,15719,33,149,14303,1234
New Jersey,34025,19173,20,233,17968,952
New Jersey,34029,17657,6,154,16334,1163
New Jersey,34031,6514,15,78,5810,611
New Jersey,34039,7110,45,140,6479,446
New Mexico,35001,18646,12,129,17257,1248
New Mexico,35013,17374,14,201,15173,1986
New York,36001,8961,31,276,7281,1373
New York,36005,3345,58,31,2627,629
New York,36029,13697,42,432,12484,739
New York,36047,3496,40,18,3005,433
New York,36055,12862,24,343,11416,1079
New York,36059,21207,21,206,20184,796
New York,36061,2226,85,45,1351,745
New York,36063,4346,2,194,3613,537
New York,36067,11033,20,288,9464,1261
New York,36081,8325,94,75,6864,1292
New York,36085,4699,30,9,4464,196
New York,36093,3062,18,91,2763,190
New York,36103,38971,20,626,35734,2591
New York,36119,19351,37,490,17339,1485
North Carolina,37025,6615,4,111,6113,387
North Carolina,37051,9613,24,122,8994,473
North Carolina,37063,7285,38,88,6696,463
North Carolina,37067,12864,35,77,11951,801
North Carolina,37071,10722,13,181,9737,791
North Carolina,37081,14038,52,115,12946,925
North Carolina,37119,21717,38,155,20637,887
North Carolina,37129,8457,13,166,5492,2786
North Carolina,37133,9110,4,78,8390,638
North Carolina,37183,26621,39,292,25429,861
North Dakota,38017,9103,8,101,6562,2432
North Dakota,38035,5153,6,42,2887,2218
Ohio,39017,8572,2,260,7942,368
Ohio,39035,17273,65,351,15784,1073
Ohio,39049,22538,66,217,20970,1285
Ohio,39061,13410,41,166,12374,829
Ohio,39093,6716,18,162,6319,217
Ohio,39095,8036,22,145,7545,324
Ohio,39099,5955,19,213,5286,437
Ohio,39113,13114,17,146,12359,592
Ohio,39151,11285,18,238,10088,941
Ohio,39153,12157,28,253,11284,592
Oklahoma,40027,13731,16,61,9887,3767
Oklahoma,40031,10320,14,123,7452,2731
Oklahoma,40109,23278,88,79,19898,3213
Oklahoma,40143,23369,70,145,22324,830
Oregon,41005,17206,20,82,15983,1121
Oregon,41017,15280,4,187,14672,417
Oregon,41029,9008,12,92,8370,534
Oregon,41039,20380,19,129,16677,3555
Oregon,41047,15729,11,191,14054,1473
Oregon,41051,14796,29,128,12951,1688
Oregon,41067,14471,12,97,13536,826
Pennsylvania,42003,35827,100,496,31655,3576
Pennsylvania,42011,15660,48,282,9446,5884
Pennsylvania,42045,11583,24,200,8611,2748
Pennsylvania,42049,6209,9,275,5432,493
Pennsylvania,42077,10452,14,128,9709,601
Pennsylvania,42079,14609,22,191,13044,1352
Pennsylvania,42091,16487,57,292,14774,1364
Pennsylvania,42101,9997,46,380,9027,544
Pennsylvania,42133,15878,16,453,13456,1953
Rhode Island,44007,13334,47,586,11696,1005
South Carolina,45019,22199,14,197,19456,2532
South Carolina,45045,17061,14,233,15995,819
South Carolina,45051,14739,6,188,12397,2148
South Carolina,45079,14838,19,242,14009,568
South Carolina,45083,15342,12,397,14361,572
South Dakota,46099,4670,6,71,4329,264
South Dakota,46103,6599,10,143,5588,858
Tennessee,47037,15511,33,344,12049,3085
Tennessee,47065,13778,32,378,10980,2388
Tennessee,47093,14087,26,225,12647,1189
Tennessee,47125,6527,2,169,5432,924
Tennessee,47149,7375,4,140,6232,999
Tennessee,47157,27070,43,258,23124,3645
Tennessee,47163,8416,10,169,6534,1703
Tennessee,47179,5660,14,117,4995,534
Tennessee,47187,8191,6,140,6754,1291
Texas,48027,11217,8,116,9916,1177
Texas,48029,35735,80,147,31753,3755
Texas,48037,6141,14,73,5064,990
Texas,48039,16856,12,179,15901,764
Texas,48041,5468,13,75,4961,419
Texas,48061,11738,15,163,9880,1680
Texas,48085,25952,16,155,24214,1567
Texas,48091,6696,2,30,6085,579
Texas,48113,41382,157,312,35806,5107
Texas,48121,22292,26,90,19398,2778
Texas,48141,16178,47,167,15160,804
Texas,48157,21897,40,98,20958,801
Texas,48167,12335,38,96,11654,547
Texas,48201,97991,230,242,57507,40012
Texas,48209,6151,5,49,5655,442
Texas,48215,20896,8,247,18994,1647
Texas,48245,8889,12,130,8197,550
Texas,48303,9049,36,243,7851,919
Texas,48309,7340,25,143,6329,843
Texas,48339,16965,12,54,16187,712
Texas,48355,10067,35,131,8287,1614
Texas,48423,9606,8,195,8977,426
Texas,48439,41236,127,301,37917,2891
Texas,48451,8616,10,56,7908,642
Texas,48453,21644,71,130,19184,2259
Texas,48469,4890,0,91,4444,355
Texas,48479,11084,4,116,9924,1040
Texas,48491,13943,32,115,12838,958
Utah,49005,7279,0,112,6959,208
Utah,49011,10651,27,115,10231,278
Utah,49035,36971,26,386,35462,1097
Utah,49049,39709,4,269,38364,1072
Utah,49057,10010,11,138,9462,399
Virginia,51013,2534,37,123,1826,548
Virginia,51041,16932,29,89,13637,3177
Virginia,51059,23572,59,321,21125,2067
Virginia,51087,8948,18,212,8314,404
Virginia,51107,12559,24,122,10851,1562
Virginia,51153,14932,11,147,11614,3160
Virginia,51161,8753,14,139,7225,1375
Virginia,51510,1796,33,92,1309,362
Virginia,51550,7246,22,159,6522,543
Virginia,51650,4858,13,149,4412,284
Virginia,51680,3118,18,77,2594,429
Virginia,51700,4820,6,93,4406,315
Virginia,51710,6520,15,210,5790,505
Virginia,51740,2877,12,92,2487,286
Virginia,51760,4005,35,224,3420,326
Virginia,51800,6601,12,116,5036,1437
Virginia,51810,13186,18,137,11876,1155
Washington,53011,15877,12,96,15023,746
Washington,53033,66653,54,317,62881,3401
Washington,53053,25717,22,129,24902,664
Washington,53061,26458,16,214,24528,1700
Washington,53063,16632,12,113,14579,1928
Washington,53067,12411,6,46,10862,1497
Washington,53073,9084,2,78,8198,806
Washington,53077,15429,6,63,14999,361
West Virginia,54011,5270,4,70,4464,732
West Virginia,54039,25022,12,309,23036,1665
Wisconsin,55009,6011,18,163,5543,287
Wisconsin,55025,17222,42,220,16268,692
Wisconsin,55035,3393,9,70,3076,238
Wisconsin,55059,3798,6,99,3508,185
Wisconsin,55063,3544,10,139,3134,261
Wisconsin,55073,4526,12,97,4234,183
Wisconsin,55079,9832,47,232,8756,797
Wisconsin,55087,4782,8,139,4296,339
Wisconsin,55101,4386,7,196,4065,118
Wisconsin,55133,12201,18,213,11543,427
Wyoming,56021,6047,11,96,4771,1169
Wyoming,56025,15613,8,123,13311,2171
